num_agents,casps_mean,casps_std,casps_min,casps_max,n_windows
1,1074.0696213388026,69.29205362502042,921.770245968597,1146.5941644924742,10
4,1346.4948083108616,44.318209601555104,1278.2791817928287,1424.0696078505555,10
8,1389.6737147111883,72.05020945057197,1266.9034281764598,1500.4798330067738,10
16,1265.5742482357632,30.281309436736453,1228.7820661518435,1323.7216617259137,10
32,1130.4678877243089,16.999234115945807,1107.7594067842836,1161.6278391513904,10
40,1049.5406343163468,17.037267967529345,1032.6057741382651,1078.4742957308156,10
